athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,gold_medal,silver_medal,bronze_medal,total
1562409,8/4/2024,Gold Medal,Tennis,Italy,Sara ERRANI,4/29/1987,Female,164,0,12,13,15,40
1562864,8/10/2024,Silver Medal,Beach Volleyball,Germany,Nils EHLERS,2/4/1994,Male,211,0,12,13,8,33
1562868,8/10/2024,Silver Medal,Beach Volleyball,Germany,Clemens WICKLER,4/28/1995,Male,190,0,12,13,8,33
1563010,8/10/2024,Silver Medal,Weightlifting,Egypt,Sara AHMED,1/1/1998,Female,0,0,1,1,1,3
1563082,7/31/2024,Silver Medal,Judo,Germany,Miriam BUTKEREIT,5/8/1994,Female,0,0,12,13,8,33
1563321,8/7/2024,Bronze Medal,Sport Climbing,Poland,Aleksandra KALUCKA,12/25/2001,Female,164,0,1,4,5,10
1563327,8/7/2024,Gold Medal,Sport Climbing,Poland,Aleksandra MIROSLAW,2/2/1994,Female,162,0,1,4,5,10
1563381,8/9/2024,Silver Medal,Table Tennis,Sweden,Anton KALLBERG,8/17/1997,Male,0,0,4,4,3,11
1563386,8/9/2024,Silver Medal,Table Tennis,Sweden,Kristian KARLSSON,8/6/1991,Male,0,0,4,4,3,11
1563390,8/4/2024,Silver Medal,Table Tennis,Sweden,Truls MOREGARD,2/16/2002,Male,0,0,4,4,3,11
